[16:34:42.940] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2221974, egress-ts=2242348, deq-depth = 5, deq-bytes=7500
[16:34:42.941] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2222454, egress-ts=2244282, deq-depth = 6, deq-bytes=9000
[16:34:42.943] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2223374, egress-ts=2244907, deq-depth = 5, deq-bytes=7500
[16:34:42.945] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2224117, egress-ts=2247176, deq-depth = 7, deq-bytes=10500
[16:34:42.946] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2224867, egress-ts=2248696, deq-depth = 9, deq-bytes=13500
[16:34:42.947] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2225403, egress-ts=2250100, deq-depth = 9, deq-bytes=13500
[16:34:42.948] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2226017, egress-ts=2250703, deq-depth = 8, deq-bytes=12000
[16:34:42.950] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2226800, egress-ts=2252483, deq-depth = 9, deq-bytes=13500
[16:34:42.951] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2232760, egress-ts=2253929, deq-depth = 10, deq-bytes=15000
[16:34:42.953] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2232928, egress-ts=2255239, deq-depth = 11, deq-bytes=16500
[16:34:42.954] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2233629, egress-ts=2257401, deq-depth = 15, deq-bytes=22500
[16:34:42.956] [bmv2] [I] [thread 5884] flow-id = 792592772646899961271832018950,ingress-ts=2233726, egress-ts=2258748, deq-depth = 14, deq-bytes=21000
[16:34:42.958] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2233852, egress-ts=2260135, deq-depth = 14, deq-bytes=21000
[16:34:42.959] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2237539, egress-ts=2262237, deq-depth = 16, deq-bytes=24000
[16:34:42.961] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2237747, egress-ts=2264093, deq-depth = 17, deq-bytes=25500
[16:34:42.962] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2237884, egress-ts=2265053, deq-depth = 16, deq-bytes=24000
[16:34:42.964] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2238434, egress-ts=2266415, deq-depth = 18, deq-bytes=27000
[16:34:42.966] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2238511, egress-ts=2268540, deq-depth = 20, deq-bytes=30000
[16:34:42.967] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2238620, egress-ts=2270075, deq-depth = 21, deq-bytes=31500
[16:34:42.968] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2238824, egress-ts=2271013, deq-depth = 20, deq-bytes=30000
[16:34:42.969] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2241997, egress-ts=2272444, deq-depth = 19, deq-bytes=28500
[16:34:42.970] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2242073, egress-ts=2273363, deq-depth = 18, deq-bytes=27000
[16:34:42.971] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2242168, egress-ts=2273968, deq-depth = 17, deq-bytes=25500
[16:34:42.972] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2246083, egress-ts=2274801, deq-depth = 16, deq-bytes=24000
[16:34:42.972] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2246207, egress-ts=2275525, deq-depth = 15, deq-bytes=22500
[16:34:42.973] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2246329, egress-ts=2276437, deq-depth = 14, deq-bytes=21000
[16:34:42.974] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2247447, egress-ts=2277098, deq-depth = 13, deq-bytes=19500
[16:34:42.974] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2251565, egress-ts=2277775, deq-depth = 12, deq-bytes=18000
[16:34:42.975] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2252557, egress-ts=2278417, deq-depth = 11, deq-bytes=16500
[16:34:42.976] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2252575, egress-ts=2278916, deq-depth = 10, deq-bytes=15000
[16:34:42.977] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2256010, egress-ts=2279905, deq-depth = 9, deq-bytes=13500
[16:34:42.977] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2256314, egress-ts=2280568, deq-depth = 8, deq-bytes=12000
[16:34:42.978] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2256453, egress-ts=2281158, deq-depth = 7, deq-bytes=10500
[16:34:42.979] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2260560, egress-ts=2281827, deq-depth = 6, deq-bytes=9000
[16:34:42.979] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2260598, egress-ts=2282690, deq-depth = 5, deq-bytes=7500
[16:34:43.011] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2305878, egress-ts=2313756, deq-depth = 7, deq-bytes=10500
[16:34:43.012] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2305898, egress-ts=2315230, deq-depth = 10, deq-bytes=15000
[16:34:43.015] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2308951, egress-ts=2316308, deq-depth = 9, deq-bytes=13500
[16:34:43.015] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2308971, egress-ts=2318526, deq-depth = 12, deq-bytes=18000
[16:34:43.017] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2311154, egress-ts=2319220, deq-depth = 11, deq-bytes=16500
[16:34:43.019] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2311218, egress-ts=2321178, deq-depth = 12, deq-bytes=18000
[16:34:43.020] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2311763, egress-ts=2323171, deq-depth = 15, deq-bytes=22500
[16:34:43.023] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2311782, egress-ts=2324756, deq-depth = 15, deq-bytes=22500
[16:34:43.025] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2313114, egress-ts=2327227, deq-depth = 16, deq-bytes=24000
[16:34:43.027] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2313136, egress-ts=2330249, deq-depth = 22, deq-bytes=33000
[16:34:43.029] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2314083, egress-ts=2330881, deq-depth = 21, deq-bytes=31500
[16:34:43.029] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2314108, egress-ts=2332480, deq-depth = 21, deq-bytes=31500
[16:34:43.030] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2315934, egress-ts=2333057, deq-depth = 21, deq-bytes=31500
[16:34:43.031] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2316002, egress-ts=2334334, deq-depth = 21, deq-bytes=31500
[16:34:43.032] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2316774, egress-ts=2334996, deq-depth = 21, deq-bytes=31500
[16:34:43.033] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2316797, egress-ts=2336037, deq-depth = 20, deq-bytes=30000
[16:34:43.034] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2319041, egress-ts=2336944, deq-depth = 20, deq-bytes=30000
[16:34:43.035] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2319092, egress-ts=2338224, deq-depth = 22, deq-bytes=33000
[16:34:43.036] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2319989, egress-ts=2339211, deq-depth = 22, deq-bytes=33000
[16:34:43.037] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2320009, egress-ts=2340088, deq-depth = 22, deq-bytes=33000
[16:34:43.038] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2321403, egress-ts=2340979, deq-depth = 22, deq-bytes=33000
[16:34:43.040] [bmv2] [I] [thread 5884] flow-id = 0,ingress-ts=2321425, egress-ts=2342368, deq-depth = 24, deq-bytes=36000
[16:34:43.042] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2323108, egress-ts=2343799, deq-depth = 24, deq-bytes=36000
[16:34:43.043] [bmv2] [I] [thread 5884] flow-id = 951048653736085861918943739921,ingress-ts=2323159, egress-ts=2346525, deq-depth = 31, deq-bytes=46500
[16:34:43.044] [bmv2] [I] [thread 5884] flow-id = 951048653736085862631003622161,ingress-ts=2324004, egress-ts=2347260, deq-depth = 31, deq-bytes=46500
