[11:44:26.720] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=0, currenthop-packets=0, lost packets = 0
[11:44:27.685] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=1, currenthop-packets=1, lost packets = 0
[11:44:28.688] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=2, currenthop-packets=2, lost packets = 0
[11:44:29.684] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=3, currenthop-packets=3, lost packets = 0
[11:44:30.700] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=4, currenthop-packets=4, lost packets = 0
[11:44:31.699] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=5, currenthop-packets=5, lost packets = 0
[11:45:10.679] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=6, currenthop-packets=6, lost packets = 0
[11:45:21.088] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=7, currenthop-packets=7, lost packets = 0
[11:45:22.028] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=8, currenthop-packets=8, lost packets = 0
[11:45:23.088] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=9, currenthop-packets=9, lost packets = 0
[11:45:24.080] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=10, currenthop-packets=10, lost packets = 0
[11:45:25.079] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=11, currenthop-packets=11, lost packets = 0
[11:45:26.088] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=12, currenthop-packets=12, lost packets = 0
[11:45:27.096] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=13, currenthop-packets=13, lost packets = 0
[11:45:28.089] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=14, currenthop-packets=14, lost packets = 0
[11:45:29.097] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=15, currenthop-packets=15, lost packets = 0
[11:45:30.107] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=16, currenthop-packets=16, lost packets = 0
[11:45:31.038] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=17, currenthop-packets=17, lost packets = 0
[11:45:32.108] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=18, currenthop-packets=18, lost packets = 0
[11:45:33.095] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=19, currenthop-packets=19, lost packets = 0
[11:45:34.114] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=20, currenthop-packets=20, lost packets = 0
[11:45:35.110] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=21, currenthop-packets=21, lost packets = 0
[11:45:36.110] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=22, currenthop-packets=22, lost packets = 0
[11:45:37.116] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=23, currenthop-packets=23, lost packets = 0
[11:45:38.118] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=24, currenthop-packets=24, lost packets = 0
[11:45:39.109] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=25, currenthop-packets=25, lost packets = 0
[11:45:40.060] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=26, currenthop-packets=26, lost packets = 0
[11:45:41.116] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=27, currenthop-packets=27, lost packets = 0
[11:45:42.128] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=28, currenthop-packets=28, lost packets = 0
[11:45:43.116] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=29, currenthop-packets=29, lost packets = 0
[11:45:44.119] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=30, currenthop-packets=30, lost packets = 0
[11:45:45.129] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=31, currenthop-packets=31, lost packets = 0
[11:45:46.120] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=32, currenthop-packets=32, lost packets = 0
[11:45:47.143] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=33, currenthop-packets=33, lost packets = 0
[11:45:48.141] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=34, currenthop-packets=34, lost packets = 0
[11:45:49.138] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=35, currenthop-packets=35, lost packets = 0
[11:45:50.133] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=36, currenthop-packets=36, lost packets = 0
[11:45:51.136] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=37, currenthop-packets=37, lost packets = 0
[11:45:52.149] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=38, currenthop-packets=38, lost packets = 0
[11:45:53.138] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=39, currenthop-packets=39, lost packets = 0
[11:45:54.138] [bmv2] [I] [thread 3608437] flow id = 19025465456463839701,lasthop-packets=40, currenthop-packets=40, lost packets = 0
